"Committee","MTG #","Date","Start Time","End Time","Location"
"Aboriginal Affairs Committee","8","2012-10-29","09:30 AM","06:00 PM","Committee Room 3, City Hall"
"Aboriginal Affairs Committee","9","2012-11-26","09:30 AM","01:00 PM","Committee Room 3, City Hall"
"Aboriginal Affairs Committee","10","2013-02-12","09:30 AM","06:00 PM","Committee Room 4, City Hall"
"Aboriginal Affairs Committee","11","2013-03-27","09:30 AM","06:00 PM","Committee Room 3, City Hall"
"Aboriginal Affairs Committee","12","2013-05-10","09:30 AM","06:00 PM","Committee Room 3, City Hall"
"Aboriginal Affairs Committee","13","2013-10-01","09:30 AM","06:00 PM","Meeting Room B, City Hall"
"Aboriginal Affairs Committee","14","2013-11-22","09:30 AM","06:00 PM","Committee Room 2, City Hall"
"Advisory Committee on Long-Term Care Homes and Services","1","2010-12-10","11:00 AM","10:00 PM","Auditorium, Seven Oaks, 9 Neilson Road"
"Advisory Committee on Long-Term Care Homes and Services","2","2011-02-04","09:30 AM","11:30 AM","Meeting Room 304, Metro Hall"
"Advisory Committee on Long-Term Care Homes and Services","3","2011-04-08","09:30 AM","10:00 PM","Meeting Room 310, Metro Hall"
"Advisory Committee on Long-Term Care Homes and Services","4","2011-05-13","09:30 AM","10:00 PM","Meeting Room 308, Metro Hall"
"Affordable Housing Committee","1","2011-02-02","09:30 AM","02:00 PM","Committee Room 3, City Hall"
"Affordable Housing Committee","2","2011-04-07","09:30 AM","02:00 PM","Committee Room 2, City Hall"
"Affordable Housing Committee","3","2011-09-13","09:30 AM","02:00 PM","Committee Room 2, City Hall"
"Affordable Housing Committee","4","2012-05-28","09:30 AM","10:00 PM","Committee Room 2, City Hall"
"Affordable Housing Committee","5","2013-01-29","02:30 PM","06:00 PM","Committee Room 4, City Hall"
"Affordable Housing Committee","6","2013-06-24","02:30 PM","06:00 PM","Committee Room 1, City Hall"
"Affordable Housing Committee","7","2013-10-23","02:30 PM","06:00 PM","Committee Room 3, City Hall"
"Audit Committee","1","2011-02-22","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Audit Committee","2","2011-05-12","09:30 AM","10:00 PM","Committee Room 2, City Hall"
"Audit Committee","3","2011-07-05","09:30 AM","10:00 PM","Committee Room 2, City Hall"
"Audit Committee","4","2011-10-20","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Audit Committee","5","2011-11-23","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Audit Committee","6","2012-02-29","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Audit Committee","7","2012-07-03","09:30 AM","10:00 PM","Committee Room 2, City Hall"
"Audit Committee","8","2012-07-04","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Audit Committee","9","2012-10-25","09:30 AM","05:00 PM","Committee Room 1, City Hall"
"Audit Committee","10","2013-02-15","09:30 AM","06:00 PM","Committee Room 2, City Hall"
"Audit Committee","11","2013-05-29","09:30 AM","06:00 PM","Committee Room 2, City Hall"
"Audit Committee","12","2013-07-04","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Audit Committee","13","2013-10-31","09:30 AM","06:00 PM","Committee Room 2, City Hall"
"Bid Committee","1","2010-12-01","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","2","2010-12-08","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","3","2010-12-15","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","4","2010-12-22","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","5","2011-01-05","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","6","2011-01-12","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","7","2011-01-19","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","8","2011-01-26","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","9","2011-02-02","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","10","2011-02-09","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","11","2011-02-16","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","12","2011-02-23","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","13","2011-03-02","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","14","2011-03-09","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","15","2011-03-16","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","16","2011-03-23","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","17","2011-03-30","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","18","2011-04-06","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","19","2011-04-13","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","20","2011-04-20","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","21","2011-04-27","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","22","2011-05-04","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","23","2011-05-11","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","24","2011-05-18","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","25","2011-05-25","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","26","2011-06-01","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","27","2011-06-08","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","28","2011-06-15","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","29","2011-06-22","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","30","2011-06-29","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","31","2011-07-06","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","32","2011-07-13","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","33","2011-07-20","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","34","2011-07-27","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","35","2011-08-03","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","36","2011-08-10","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","37","2011-08-17","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","38","2011-08-24","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","39","2011-09-01","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","40","2011-09-07","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","41","2011-09-14","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","42","2011-09-21","02:00 PM","03:00 PM","Committee Room 4, City Hall"
"Bid Committee","43","2011-09-28","02:00 PM","03:00 PM","Committee Room 4, City Hall"
